Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Tajikistan,17786,125,17264.0,397.0,1781.0,13.0,,,9984604.0
Tanzania,37865,841,,,598.0,13.0,,,63284174.0
Thailand,4600978,31529,4548339.0,21110.0,65573.0,449.0,17270775.0,246144.0,70165297.0
Timor-Leste,22980,133,22836.0,11.0,16763.0,97.0,271855.0,198313.0,1370838.0
Togo,38145,280,37674.0,191.0,4393.0,32.0,771532.0,88850.0,8683553.0
Tonga,12554,12,12423.0,119.0,116032.0,111.0,535009.0,4944905.0,108194.0
Trinidad and Tobago,172267,4061,161837.0,6369.0,122267.0,2882.0,796122.0,565050.0,1408941.0
Tunisia,1134660,29105,,,93955.0,2410.0,4863059.0,402684.0,12076625.0
Turkey,15889495,99341,15487468.0,302686.0,184263.0,1152.0,162743369.0,1887263.0,86232463.0
UAE,996775,2337,975590.0,18848.0,98304.0,230.0,178479089.0,17601979.0,10139717.0
UK,23368899,185052,22807656.0,376191.0,340506.0,2696.0,522526476.0,7613686.0,68629899.0
USA,93739666,1057811,88700969.0,3980886.0,,,1074632797.0,,
Uganda,169396,3628,100431.0,65337.0,3474.0,74.0,3012408.0,61787.0,48755027.0
Ukraine,5023710,108713,4911468.0,3529.0,116327.0,2517.0,19521252.0,452027.0,43185997.0
Uruguay,971728,7415,962545.0,1768.0,277729.0,2119.0,6114822.0,1747671.0,3498841.0
Uzbekistan,243232,1637,240478.0,1117.0,7054.0,47.0,1377915.0,39961.0,34481234.0
Vanuatu,11723,14,11672.0,37.0,36393.0,43.0,24976.0,77536.0,322120.0
Venezuela,537487,5766,526664.0,5057.0,19014.0,204.0,3359014.0,118828.0,28267936.0
Vietnam,11192043,43094,9957655.0,1191294.0,112862.0,435.0,85826548.0,865486.0,99165741.0
Yemen,11895,2152,9117.0,626.0,381.0,69.0,265253.0,8503.0,31196528.0
Zambia,330575,4015,325321.0,1239.0,16989.0,206.0,3642327.0,187187.0,19458177.0
Zimbabwe,256444,5581,250426.0,437.0,16745.0,364.0,2453554.0,160213.0,15314344.0
